big_category,mid_category,product_name,brand,like,price,product_img,codi_img,tags
아우터,숏패딩/숏헤비 아우터,더플 다운,GUESS,"2,457","178,000원",https://image.msscdn.net/images/goods_img/20231016/3630442/3630442_16974445794370_500.jpg,,
상의,맨투맨/스웨트셔츠,마가렛 스웨트셔츠 - 오트밀,OURHOPE,"5,740","72,000원",https://image.msscdn.net/images/goods_img/20230209/3070468/3070468_16759031955428_500.jpg,,
상의,셔츠/블라우스,C 로고 옥스포드 스트라이프 셔츠 라이트 블루,COVERNAT,"6,551","79,000원",https://image.msscdn.net/images/goods_img/20200814/1550595/1550595_16794479149140_500.jpg,,
바지,코튼 팬츠,sea rover pants(womens) beige,UNIFORM BRIDGE WOMEN,38,"129,000원",https://image.msscdn.net/images/goods_img/20230216/3087277/3087277_16769759835428_500.jpg,,
여성 가방,크로스백,마마스 백 라지 -브라운(가죽),TUETTOI,383,,https://image.msscdn.net/images/goods_img/20230419/3247742/3247742_16818977063997_500.jpg,,
양말/레그웨어,양말,AUTHENTIC SOCKS(AUTHENTIC ORANGE),FREI,88,"9,000원",https://image.msscdn.net/images/goods_img/20210302/1821557/1821557_2_500.jpg,,
신발,구두,1461 3홀 빈티지브라운 / 11838201,DR.MARTENS,"6,084","210,000원",https://image.msscdn.net/images/goods_img/20180201/706935/706935_4_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29874/detail_29874_659ded440a45b_500.jpg?202401121001,"['#겨울', '#아메카지', '#게스', '#구두', '#닥터마틴', '#맨투맨/스웨트셔츠', '#메신저/크로스 백', '#셔츠/블라우스', '#숏패딩/숏헤비 아우터', '#아워호프', '#양말', '#유니폼브릿지 우먼', '#커버낫', '#코튼 팬츠', '#크로스백', '#투에투아', '#프라이', '#코디맵', '#카고', '#와이드핏', '#심볼', '#아메카지', '#레이어드룩', '#플라워', '#레터링']"
상의,니트/스웨터,SIOT4057 cowichan handmade sweater_Navy,SIYAZU,325,"327,000원",https://image.msscdn.net/images/goods_img/20221115/2942961/2942961_1_500.jpg,,
상의,니트/스웨터,우먼스 플로리 와펜 케이블 카라 니트 아이보리,WHATITISNT,"1,055","99,000원",https://image.msscdn.net/images/goods_img/20230720/3418245/3418245_16916334158857_500.jpg,,
바지,데님 팬츠,SIJN6067 기모 뉴와이드 카펜터 팬츠_Brown,SIYAZU,331,"89,000원",https://image.msscdn.net/images/goods_img/20231108/3694081/3694081_16994070477355_500.jpg,,
여성 가방,토트백,MINI HERETIC PADDING BAG / cream,HERETIC,206,,https://image.msscdn.net/images/goods_img/20231004/3603550/3603550_16965731669156_500.jpg,,
액세서리,장갑,베이직 니트 장갑 (레드),DEPASION,27,"57,400원",https://image.msscdn.net/images/goods_img/20230906/3535662/3535662_17000400551148_500.jpg,,
신발,부츠,2976 벡스 크레이지 호스 다크 브라운 / 27896201,DR.MARTENS,624,"280,000원",https://image.msscdn.net/images/goods_img/20220714/2663845/2663845_2_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29815/detail_29815_659deb04e1186_500.jpg?202401121001,"['#겨울', '#아메카지', '#니트/스웨터', '#닥터마틴', '#데님 팬츠', '#드파시온', '#부츠', '#시야쥬', '#와릿이즌', '#장갑', '#토트백', '#헤레틱', '#코디맵', '#방한', '#퀼팅', '#컬러블록', '#아메카지', '#레터링']"
아우터,레더/라이더스 재킷,스타 레더 자켓(워시드)(오버핏)-브라운,BITTERCELLS,"4,878","149,000원",https://image.msscdn.net/images/goods_img/20230721/3420576/3420576_16925952010901_500.jpg,,
상의,니트/스웨터,Gentle Jacquard Zip-up (Brown),SIENNE,115,,https://image.msscdn.net/images/goods_img/20231110/3703020/3703020_16995906338667_500.jpg,,
바지,데님 팬츠,던 데님 팬츠_브라운,GROVE,827,"128,000원",https://image.msscdn.net/images/goods_img/20220822/2733450/2733450_1_500.jpg,,
모자,비니,SUNNY BEANIE,PINK PINEAPPLE,908,,https://image.msscdn.net/images/goods_img/20221026/2895051/2895051_1_500.jpg,,
여성 가방,크로스백,Bent Rope Bag Chocolate,4OUR B,"3,051","112,000원",https://image.msscdn.net/images/goods_img/20220318/2430278/2430278_3_500.jpg,,
스니커즈,캔버스/단화,척테일러 올스타 러기드 2.0 플랫폼 부츠 엔진 스모크 A05386C,CONVERSE,649,"145,000원",https://image.msscdn.net/images/goods_img/20230908/3543758/3543758_16941471215419_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29769/detail_29769_659dea47b9638_500.jpg?202401121001,"['#겨울', '#아메카지', '#그로브', '#니트/스웨터', '#데님 팬츠', '#레더/라이더스 재킷', '#메신저/크로스 백', '#비니', '#비터셀즈', '#사비', '#시엔느', '#캔버스/단화', '#컨버스', '#크로스백', '#핑크파인애플', '#코디맵', '#방한', '#워싱', '#레더', '#컬러블록', '#뉴트럴톤', '#아메카지', '#빈티지']"
아우터,겨울 기타 코트,NOI1111 핸드메이드 더플 코트 (라이트그레이),NOIAGO,372,"237,000원",https://image.msscdn.net/images/goods_img/20231030/3669345/3669345_17001043356351_500.jpg,,
상의,맨투맨/스웨트셔츠,Leather stopper point high-neck MTM_Gray,TILL I DIE,590,"89,500원",https://image.msscdn.net/images/goods_img/20230913/3556473/3556473_16945827043187_500.jpg,,
스커트,롱스커트,타이포 스웻 롱 스커트 네이비,LEE,169,"79,000원",https://image.msscdn.net/images/goods_img/20230821/3481290/3481290_16927564068655_500.jpg,,
가방,백팩,하프파인트 LODEN FROST,JANSPORT,987,,https://image.msscdn.net/images/goods_img/20221025/2891384/2891384_16969153830575_500.jpg,,
액세서리,장갑,SIAC3035 부클 장갑_Blue,SIYAZU,"1,314","49,000원",https://image.msscdn.net/images/goods_img/20231108/3694993/3694993_16994116183396_500.jpg,,
스니커즈,패션스니커즈화,X strap maryjane sneakers (3colors),ATT,"2,926","123,000원",https://image.msscdn.net/images/goods_img/20230831/3518019/3518019_16956918564813_500.jpg,,
,,,,,,,https://image.msscdn.net/images/codimap/detail/29759/detail_29759_659dea28595e6_500.jpg?202401121001,"['#겨울', '#겨울 기타 코트', '#노이아고', '#롱스커트', '#리', '#맨투맨/스웨트셔츠', '#백팩', '#시야쥬', '#에이티티', '#잔스포츠', '#장갑', '#틸 아이 다이', '#패션스니커즈화', '#코디맵', '#방한', '#맥시', '#캠퍼스', '#얼죽코', '#오버핏', '#로고플레이', '#편안한', '#아메카지']"
아우터,숏패딩/숏헤비 아우터,글로시 투톤 커브 크롭 숏패딩 _브라운,APOSTROPHE COMMA,510,"229,000원",https://image.msscdn.net/images/goods_img/20231026/3662885/3662885_16983401743577_500.jpg,,
